@@,itemlabel,item,startdate,enddate
+++,Jan van den Velden,Q2408058,1813,1815
+++,mr. Rudolph Abraham Schutt,Q2099913,1815,1816
+++,Walraven Robbert baron van Heeckeren van Brandsenburg,Q5708250,1816,1818
+++,Jacob Frederik Gobius,Q13734711,1818,1821
+++,Johannes Borski,Q2483484,1821,1824
+++,mr. Johannes van Doelen,Q2222413,1824,1827
+++,jhr. mr. Hubert Matthijs Adriaan Jan van Asch van Wijck,Q2231707,1827,1839
+++,mr. Nicolaas Petrus Jacob Kien,Q2347537,1839,1878
+++,mr. Willem Richard Boer,Q2683688,1878,1891
+++,dr. Bernardus Reiger,Q2145104,1891,1908
+++,mr. Alexander Frederik baron van Lynden,Q1969343,1908,1914
+++,mr. Joachimus Pieter Fockema Andreae,Q2008486,1914,1934
+++,mr. dr. Gerhard (G.A.W.) ter Pelkwijk,Q2278552,1934,1942
+++,Cornelis (C.) van Ravenswaay,Q2579002,1942,1945
+++,mr. dr. Gerhard (G.A.W.) ter Pelkwijk,Q2278552,1945,1948
+++,jhr. mr. dr. Coen (C.J.A.) de Ranitz,Q2598220,1948,1970
+++,Hans (H.G.I.) baron van Tuyll van Serooskerken,Q1876433,1970,1974
->,Henk Vonhoff->Henk (H.J.L.) Vonhoff,Q470866,1974-08-16->1974,1980-12-16->1981
+++,drs. Lien (M.W.M) Vos-van Gortel,Q2130332,1981,1992
+++,mr. Ivo (I.W.) Opstelten,Q1388220,1992,1999
->,Annie Brouwer-Korf->mr. Annie (A.H.) Brouwer-Korf,Q2355743,1999,2007->2008
->,Aleid Wolfsen->mr. Aleid (A.) Wolfsen,Q629550,2008-01-02->2008,2014-01-01->2013
->,Jan van Zanen->mr. Jan (J.H.C) van Zanen,Q2216667,2014-01-01->2014,2020
->,Peter den Oudsten->Peter (P.E.J.) den Oudsten,Q2156366,2020-07-01->2020,2020-12->2020
->,Sharon Dijksma->Sharon (S.A.M.) Dijksma,Q2000726,2020-12-16->2020,
